table_name,ordinal_position,column_name,data_type,is_nullable,column_default
accounts_portalactivity,1,id,bigint,NO,
accounts_portalactivity,2,action,character varying,NO,
accounts_portalactivity,3,object_type,character varying,NO,
accounts_portalactivity,4,object_id,character varying,NO,
accounts_portalactivity,5,object_label,character varying,NO,
accounts_portalactivity,6,created_at,timestamp with time zone,NO,
accounts_portalactivity,7,user_id,integer,YES,
accounts_userprofile,1,id,bigint,NO,
accounts_userprofile,2,role,character varying,NO,
accounts_userprofile,3,lms_user_id,character varying,NO,
accounts_userprofile,4,created_at,timestamp with time zone,NO,
accounts_userprofile,5,updated_at,timestamp with time zone,NO,
accounts_userprofile,6,user_id,integer,NO,
accounts_userprofile,7,must_change_password,boolean,NO,
accounts_userprofile,8,can_access_user_management,boolean,NO,
accounts_userprofile,9,can_create_users,boolean,NO,
accounts_userprofile,10,can_reset_passwords,boolean,NO,
accounts_userprofile,11,can_toggle_users,boolean,NO,
accounts_userprofile,12,can_view_logs,boolean,NO,
ai_grading_profile,1,id,uuid,NO,
ai_grading_profile,2,profile_name,character varying,NO,
ai_grading_profile,3,system_prompt,text,NO,
ai_grading_profile,4,output_schema,jsonb,NO,
ai_grading_profile,5,temperature,numeric,NO,
ai_grading_profile,6,model_provider,character varying,NO,
ai_grading_profile,7,model_name,character varying,NO,
ai_grading_profile,8,is_active,boolean,NO,
ai_grading_profile,9,created_at,timestamp with time zone,NO,
ai_grading_profile,10,updated_at,timestamp with time zone,NO,
ai_grading_profile,11,assignment_level_id,uuid,YES,
assignment_level,1,id,uuid,NO,
assignment_level,2,level_code,character varying,NO,
assignment_level,3,display_name,character varying,NO,
assignment_level,4,title,character varying,NO,
assignment_level,5,instructions,text,NO,
assignment_level,6,tasks,jsonb,NO,
assignment_level,7,deliverables,jsonb,NO,
assignment_level,8,expected_outcome,text,NO,
assignment_level,9,source_filename,character varying,YES,
assignment_level,10,version,integer,NO,
assignment_level,11,configuration_status,character varying,NO,
